assay,time_h,timestamp,density,glucose,fructose,total_sugar
SB007,231.0,2025-04-04 09:00:00+00:00,995.0,0.03,3.43,3.46
SB008,0.0,2025-03-25 18:00:00+00:00,1060.0,66.8,76.88,143.68
SB008,15.0,2025-03-26 09:00:00+00:00,1060.0,63.28,72.98,136.26
SB008,21.0,2025-03-26 15:00:00+00:00,1062.0,45.65,49.52,95.17
SB008,24.0,2025-03-26 18:00:00+00:00,1063.0,61.23,71.269,132.499
SB008,40.0,2025-03-27 10:00:00+00:00,1052.3333333333333,53.09,68.26,121.35000000000001
SB008,44.5,2025-03-27 14:30:00+00:00,1049.3333333333333,54.71,58.53,113.24000000000001
SB008,46.666666666666664,2025-03-27 16:40:00+00:00,1049.0,47.64,62.63,110.27000000000001
SB008,64.0,2025-03-28 10:00:00+00:00,1038.4166666666667,31.34,54.83,86.17
SB008,68.5,2025-03-28 14:30:00+00:00,1035.7916666666667,26.71,51.82,78.53
SB008,90.0,2025-03-29 12:00:00+00:00,1024.5,16.14,44.61,60.75
SB008,118.5,2025-03-30 16:30:00+00:00,1012.75,7.25,31.15,38.4
SB008,136.0,2025-03-31 10:00:00+00:00,1010.0,4.61,28.74,33.35
SB008,142.33333333333331,2025-03-31 16:20:00+00:00,1009.1111111111111,3.6,25.03,28.630000000000003
SB008,159.0,2025-04-01 09:00:00+00:00,1005.0,2.18,20.08,22.259999999999998
SB008,165.0,2025-04-01 15:00:00+00:00,1005.0,1.8,18.91,20.71
SB008,183.5,2025-04-02 09:30:00+00:00,1001.9166666666666,0.71,12.53,13.239999999999998
SB008,190.0,2025-04-02 16:00:00+00:00,1000.8333333333334,0.25,11.09,11.34
SB008,208.0,2025-04-03 10:00:00+00:00,998.8333333333334,0.24,8.69,8.93
SB008,213.0,2025-04-03 15:00:00+00:00,998.0,0.19,8.02,8.209999999999999
SB008,231.0,2025-04-04 09:00:00+00:00,996.0,0.06,5.22,5.279999999999999
SB009,0.0,2025-04-08 18:00:00+00:00,1058.9,67.83,79.85,147.68
SB009,15.0,2025-04-09 09:00:00+00:00,1058.24375,65.07,67.57,132.64
SB009,21.0,2025-04-09 15:00:00+00:00,1058.0,68.18,69.02,137.2
SB009,39.0,2025-04-10 09:00:00+00:00,1049.0,49.04,57.25,106.28999999999999
SB009,42.0,2025-04-10 12:00:00+00:00,1046.5,48.75,59.36,108.11
SB009,45.5,2025-04-10 15:30:00+00:00,1043.5,43.14,55.99,99.13
SB009,63.0,2025-04-11 09:00:00+00:00,1029.0,23.88,43.84,67.72
SB009,68.5,2025-04-11 14:30:00+00:00,1025.3333333333333,17.35,45.26,62.61
SB009,88.0,2025-04-12 10:00:00+00:00,1015.6,10.87,29.35,40.22
SB009,119.0,2025-04-13 17:00:00+00:00,1005.0,4.89,16.4,21.29
SB009,135.0,2025-04-14 09:00:00+00:00,1003.0,0.63,15.13,15.760000000000002
SB009,141.0,2025-04-14 15:00:00+00:00,1002.0,0.36,10.89,11.25
SB009,159.0,2025-04-15 09:00:00+00:00,998.0,0.19,6.99,7.180000000000001
SB009,165.0,2025-04-15 15:00:00+00:00,998.0,0.43,5.57,6.0
SB009,183.0,2025-04-16 09:00:00+00:00,995.0,0.08,2.23,2.31
SB009,189.0,2025-04-16 15:00:00+00:00,995.0,0.08,1.57,1.6500000000000001
SB010,0.0,2025-04-08 18:00:00+00:00,1059.1,69.77,78.59,148.36
SB010,15.0,2025-04-09 09:00:00+00:00,1058.4437500000001,63.2,73.6,136.8
SB010,21.0,2025-04-09 15:00:00+00:00,1058.0,63.03,73.38,136.41
SB010,39.0,2025-04-10 09:00:00+00:00,1049.0,46.0,64.98,110.98
SB010,42.0,2025-04-10 12:00:00+00:00,1046.0,42.99,63.42,106.41
SB010,45.5,2025-04-10 15:30:00+00:00,1042.5,38.84,60.25,99.09
SB010,63.0,2025-04-11 09:00:00+00:00,1027.0,23.28,44.24,67.52000000000001
SB010,68.5,2025-04-11 14:30:00+00:00,1023.3333333333334,16.55,43.45,60.0
SB010,88.0,2025-04-12 10:00:00+00:00,1014.6666666666666,7.46,32.38,39.84
SB010,119.0,2025-04-13 17:00:00+00:00,1004.0,1.55,16.96,18.51
SB010,135.0,2025-04-14 09:00:00+00:00,1001.0,0.59,13.81,14.4
SB010,141.0,2025-04-14 15:00:00+00:00,1001.0,0.44,12.46,12.9
SB010,159.0,2025-04-15 09:00:00+00:00,998.0,0.16,6.13,6.29
SB010,165.0,2025-04-15 15:00:00+00:00,997.0,0.11,4.72,4.83
SB010,183.0,2025-04-16 09:00:00+00:00,994.0,0.08,1.62,1.7000000000000002
SB010,189.0,2025-04-16 15:00:00+00:00,994.0,0.07,1.0,1.07
SB011,0.0,2025-04-21 20:00:00+00:00,1059.0,65.64,74.52,140.16
SB011,13.0,2025-04-22 09:00:00+00:00,1061.0,65.88,71.86,137.74
SB011,19.0,2025-04-22 15:00:00+00:00,1060.0,66.53,70.17,136.7
SB011,37.5,2025-04-23 09:30:00+00:00,1058.9166666666667,64.52,67.6,132.12
SB011,39.5,2025-04-23 11:30:00+00:00,1058.5833333333333,63.15,74.66,137.81
SB011,44.0,2025-04-23 16:00:00+00:00,1058.0,63.04,68.25,131.29
SB011,61.5,2025-04-24 09:30:00+00:00,1054.9166666666667,65.52,69.61,135.13
SB011,67.0,2025-04-24 15:00:00+00:00,1054.0,59.39,69.01,128.4
SB011,85.0,2025-04-25 09:00:00+00:00,1048.0,48.75,62.04,110.78999999999999
SB011,109.75,2025-04-26 09:45:00+00:00,1038.625,33.13,58.37,91.5
SB011,116.5,2025-04-26 16:30:00+00:00,1035.5,32.34,51.43,83.77000000000001
SB011,137.5,2025-04-27 13:30:00+00:00,1026.875,19.54,49.44,68.97999999999999
SB011,157.0,2025-04-28 09:00:00+00:00,1022.0,17.88,39.54,57.42
SB011,163.0,2025-04-28 15:00:00+00:00,1020.0,15.11,35.83,50.94
SB011,182.5,2025-04-29 10:30:00+00:00,1014.75,11.12,32.04,43.16
SB011,187.0,2025-04-29 15:00:00+00:00,1014.0,11.07,29.68,40.75
SB011,205.0,2025-04-30 09:00:00+00:00,1011.0,7.79,26.92,34.71
SB011,211.0,2025-04-30 15:00:00+00:00,1010.0,7.49,24.66,32.15
SB011,237.5,2025-05-01 17:30:00+00:00,1005.0,3.93,20.65,24.58
SB011,254.5,2025-05-02 10:30:00+00:00,1003.75,1.79,19.76,21.55
SB011,280.0,2025-05-03 12:00:00+00:00,1001.5,2.48,13.26,15.74
SB011,304.0,2025-05-04 12:00:00+00:00,998.5,0.33,8.94,9.27
SB011,325.75,2025-05-05 09:45:00+00:00,997.75,0.19,6.49,6.680000000000001
SB011,331.0,2025-05-05 15:00:00+00:00,996.0,0.0,6.22,6.22
SB011,350.0,2025-05-06 10:00:00+00:00,996.0,0.0,4.22,4.22
SB011,355.5,2025-05-06 15:30:00+00:00,996.0,0.0,3.77,3.77
SB011,374.5,2025-05-07 10:30:00+00:00,995.0,0.07,8.9,8.97
SB012,0.0,2025-04-21 16:00:00+00:00,1059.0,69.98,74.53,144.51
SB012,4.0,2025-04-21 20:00:00+00:00,1059.0,63.97,77.1,141.07
SB012,17.0,2025-04-22 09:00:00+00:00,1062.0,63.03,75.45,138.48000000000002
SB012,23.0,2025-04-22 15:00:00+00:00,1061.0,63.83,78.35,142.18
SB012,41.5,2025-04-23 09:30:00+00:00,1061.0,63.27,75.12,138.39000000000001
SB012,43.5,2025-04-23 11:30:00+00:00,1061.0,64.67,73.84,138.51
SB012,48.0,2025-04-23 16:00:00+00:00,1060.8333333333333,63.48,75.23,138.71
SB012,65.5,2025-04-24 09:30:00+00:00,1059.0833333333333,64.74,77.01,141.75
SB012,71.0,2025-04-24 15:00:00+00:00,1060.0,62.9,76.91,139.81
SB012,89.0,2025-04-25 09:00:00+00:00,1058.0,58.17,75.13,133.3
SB012,113.75,2025-04-26 09:45:00+00:00,1055.625,54.23,66.52000000000001,120.75
SB012,119.66666666666666,2025-04-26 15:40:00+00:00,1052.7222222222222,55.32,65.1,120.41999999999999
SB012,120.5,2025-04-26 16:30:00+00:00,1052.375,52.35,68.78999999999999,121.13999999999999
SB012,141.5,2025-04-27 13:30:00+00:00,1038.75,37.51,56.24,93.75
SB012,161.0,2025-04-28 09:00:00+00:00,1027.0,23.67,44.6,68.27000000000001
SB012,167.0,2025-04-28 15:00:00+00:00,1025.0,16.32,47.98,64.3
SB012,186.5,2025-04-29 10:30:00+00:00,1018.75,9.82,39.94,49.76
SB012,191.0,2025-04-29 15:00:00+00:00,1018.0,9.19,37.5,46.69
SB012,209.0,2025-04-30 09:00:00+00:00,1014.0,6.21,33.3,39.51
SB012,215.0,2025-04-30 15:00:00+00:00,1013.0,5.68,32.06,37.74
SB012,241.5,2025-05-01 17:30:00+00:00,1007.4166666666666,2.6,25.65,28.25
SB012,258.5,2025-05-02 10:30:00+00:00,1005.75,6.04,21.66,27.7
SB012,284.0,2025-05-03 12:00:00+00:00,1004.0,0.93,16.64,17.57
SB012,308.0,2025-05-04 12:00:00+00:00,1000.5,0.4,10.55,10.950000000000001
SB012,329.75,2025-05-05 09:45:00+00:00,999.875,0.3,9.14,9.440000000000001
SB012,335.0,2025-05-05 15:00:00+00:00,999.0,0.0,8.77,8.77
SB012,354.0,2025-05-06 10:00:00+00:00,998.8333333333334,0.0,6.83,6.83
SB012,359.5,2025-05-06 15:30:00+00:00,998.0,0.0,6.31,6.31
SB012,378.5,2025-05-07 10:30:00+00:00,997.0,0.31,4.0200000000000005,4.33
