time,X,N,G,F,E,Temp
15.1,0.7402429962510304,0.11963732561422136,95.03443785733758,105.76738759109037,10.462669966387468,293.15000000418996
15.2,0.7420656542096256,0.11948283956839821,94.96031483775798,105.74236254349273,10.51501355497937,293.15000000463067
15.3,0.7438912500443369,0.11932810451213287,94.88628299235948,105.7173329056106,10.56730081987076,293.15000000511765
15.4,0.7457197794754881,0.1191731208081649,94.81234104022093,105.69229844647982,10.619532685811546,293.1500000056559
15.5,0.7475512381592483,0.11901788882467162,94.7384877173155,105.66725893856274,10.671710065949616,293.15000000625076
15.6,0.7493856216876321,0.11886240893526795,94.66472177651063,105.64221415774811,10.723833861830801,293.15000000690816
15.7,0.7512229255884993,0.11870668151900649,94.59104198756819,105.61716388335115,10.775904963398895,293.1500000076347
15.8,0.7530631453255552,0.11855070696037755,94.51744713714437,105.5921078981136,10.827924248995659,293.15000000843764
15.9,0.75490627629835,0.11839448564930903,94.44393602878964,105.56704598820353,10.879892585360796,293.150000009325
16.0,0.7567523138422797,0.11823801798116655,94.37050748294885,105.54197794321557,10.931810827631983,293.15000001030575
16.1,0.7586012532285851,0.11808130435675337,94.29716033696116,105.51690355617073,10.983679819344852,293.15000001138964
16.2,0.7604530896643528,0.11792434518231043,94.22389344506006,105.49182262351653,11.035500392432985,293.1500000125875
16.3,0.7623078182925146,0.11776714086951631,94.15070567837341,105.46673494512692,11.087273367227938,293.1500000139113
16.4,0.7641654341918473,0.1176096918354873,94.07759592492339,105.4416403243023,11.138999552459213,293.15000001537436
16.5,0.7660259323769737,0.11745199850277731,94.00456308962647,105.41653856776952,11.190679745254277,293.1500000169913
16.6,0.7678893077983612,0.11729406129937793,93.93160609429351,105.3914294856819,11.242314731138556,293.1500000187783
16.7,0.7697555553423228,0.11713588065871841,93.8587238776297,105.3663128916192,11.29390528403543,293.1500000207532
16.8,0.7716246698310169,0.11697745701966566,93.78591539523453,105.34118860258765,11.345452166266247,293.1500000229359
16.9,0.773496646022447,0.11681879082652431,93.71317961960185,105.3160564390199,11.3969561285503,293.15000002534805
17.0,0.7753714786104624,0.11665988252903657,93.64051554011981,105.29091622477509,11.448417910004858,293.15000002801395
17.1,0.777249162224757,0.11650073258238237,93.56792216307095,105.26576778713878,11.499838238145134,293.1500000309602
17.2,0.7791296914308707,0.1163413414471793,93.4953985116321,105.24061095682303,11.551217828884305,293.1500000342163
17.3,0.7810130607301884,0.11618170958948257,93.42294362587445,105.21544556796631,11.602557386533512,293.1500000378149
17.4,0.7828992645599402,0.11602183748078512,93.35055656276351,105.19027145813355,11.653857603801843,293.15000004179194
17.5,0.7847882972932018,0.1158617255980175,93.27823639615913,105.16508846831614,11.70511916179636,293.15000004618724
17.6,0.7866801532388938,0.11570137442354798,93.20598221681547,105.13989644293197,11.756342730022071,293.1500000510448
17.7,0.7885748266080431,0.11554078444804218,93.13379331261878,105.11469526368143,11.807528840470018,293.1500000564132
17.8,0.7904723115342506,0.11537995616872819,93.06166877164205,105.08948477549227,11.858678164555883,293.15000006234624
17.9,0.7923726021595714,0.1152188900821176,92.98960742271288,105.064264774656,11.90979155513132,293.15000006890324
18.0,0.7942756925150486,0.11505758669413119,92.91760843919077,105.03903512229216,11.960869624670545,293.15000007614987
18.1,0.7961815765615734,0.11489604651663571,92.8456710035563,105.01379568154849,12.01191297944194,293.15000008415865
18.2,0.7980902481898855,0.1147342700674439,92.77379430741107,104.98854631760084,12.062922219508051,293.1500000930097
18.3,0.8000017012205727,0.11457225787031443,92.70197755147763,104.96328689765312,12.113897938725605,293.1500001027916
